COUNTRY,YEAR,Value
AUS,2000,1.724827
AUS,2001,1.933443
AUS,2002,1.840563
AUS,2003,1.541914
AUS,2004,1.359752
AUS,2005,1.309473
AUS,2006,1.327973
AUS,2007,1.195073
AUS,2008,1.192178
AUS,2009,1.282189
AUS,2010,1.090159
AUS,2011,0.969463
AUS,2012,0.965801
AUS,2013,1.035843
AUS,2014,1.109363
AUS,2015,1.33109
AUS,2016,1.345214
AUS,2017,1.304758
AUS,2018,1.338412
AUS,2019,1.438507
AUS,2020,1.453085
AUS,2021,1.331224
CAN,2000,1.485394
CAN,2001,1.54884
CAN,2002,1.570343
CAN,2003,1.401015
CAN,2004,1.301282
CAN,2005,1.211405
CAN,2006,1.134345
CAN,2007,1.074046
CAN,2008,1.067087
CAN,2009,1.141535
CAN,2010,1.030113
CAN,2011,0.989258
CAN,2012,0.999365
CAN,2013,1.030137
CAN,2014,1.104747
CAN,2015,1.278786
CAN,2016,1.325615
CAN,2017,1.297936
CAN,2018,1.295818
CAN,2019,1.326793
CAN,2020,1.341153
CAN,2021,1.253877
FRA,2000,1.082705
FRA,2001,1.116533
FRA,2002,1.057559
FRA,2003,0.884048
FRA,2004,0.803922
FRA,2005,0.8038
FRA,2006,0.796433
FRA,2007,0.729672
FRA,2008,0.679923
FRA,2009,0.716958
FRA,2010,0.754309
FRA,2011,0.718414
FRA,2012,0.778338
FRA,2013,0.752945
FRA,2014,0.752728
FRA,2015,0.901296
FRA,2016,0.903421
FRA,2017,0.885206
FRA,2018,0.846773
FRA,2019,0.893276
FRA,2020,0.875506
FRA,2021,0.845494
DEU,2000,1.082705
DEU,2001,1.116533
DEU,2002,1.057559
DEU,2003,0.884048
DEU,2004,0.803922
DEU,2005,0.8038
DEU,2006,0.796433
DEU,2007,0.729672
DEU,2008,0.679923
DEU,2009,0.716958
DEU,2010,0.754309
DEU,2011,0.718414
DEU,2012,0.778338
DEU,2013,0.752945
DEU,2014,0.752728
DEU,2015,0.901296
DEU,2016,0.903421
DEU,2017,0.885206
DEU,2018,0.846773
DEU,2019,0.893276
DEU,2020,0.875506
DEU,2021,0.845494
ITA,2000,1.082705
ITA,2001,1.116533
ITA,2002,1.057559
ITA,2003,0.884048
ITA,2004,0.803922
ITA,2005,0.8038
ITA,2006,0.796433
ITA,2007,0.729672
ITA,2008,0.679923
ITA,2009,0.716958
ITA,2010,0.754309
ITA,2011,0.718414
ITA,2012,0.778338
ITA,2013,0.752945
ITA,2014,0.752728
ITA,2015,0.901296
ITA,2016,0.903421
ITA,2017,0.885206
ITA,2018,0.846773
ITA,2019,0.893276
ITA,2020,0.875506
ITA,2021,0.845494
JPN,2000,107.765498
JPN,2001,121.528948
JPN,2002,125.388019
JPN,2003,115.933464
JPN,2004,108.192569
JPN,2005,110.218212
JPN,2006,116.299312
JPN,2007,117.753529
JPN,2008,103.359494
JPN,2009,93.570089
JPN,2010,87.779875
JPN,2011,79.80702
JPN,2012,79.790455
JPN,2013,97.595658
JPN,2014,105.944781
JPN,2015,121.044026
JPN,2016,108.7929
JPN,2017,112.166141
JPN,2018,110.423179
JPN,2019,109.009666
JPN,2020,106.774582
JPN,2021,109.754324
KOR,2000,1130.3625
KOR,2001,1290.79
KOR,2002,1251.6025
KOR,2003,1191.645833
KOR,2004,1146.249167
KOR,2005,1024.328333
KOR,2006,955.340833
KOR,2007,929.375833
KOR,2008,1100.125833
KOR,2009,1277.245833
KOR,2010,1156.46
KOR,2011,1108.233333
KOR,2012,1126.806667
KOR,2013,1094.9825
KOR,2014,1052.84
KOR,2015,1130.9525
KOR,2016,1160.7675
KOR,2017,1131.000833
KOR,2018,1100.163333
KOR,2019,1165.3575
KOR,2020,1180.265833
KOR,2021,1143.958333
MEX,2000,9.455558
MEX,2001,9.342342
MEX,2002,9.655958
MEX,2003,10.789019
MEX,2004,11.285967
MEX,2005,10.897892
MEX,2006,10.899242
MEX,2007,10.928192
MEX,2008,11.129717
MEX,2009,13.513475
MEX,2010,12.636008
MEX,2011,12.423325
MEX,2012,13.169458
MEX,2013,12.771992
MEX,2014,13.29245
MEX,2015,15.848267
MEX,2016,18.664058
MEX,2017,18.926517
MEX,2018,19.244342
MEX,2019,19.263633
MEX,2020,21.485608
MEX,2021,20.272408
TUR,2000,0.625219
TUR,2001,1.225588
TUR,2002,1.507226
TUR,2003,1.500885
TUR,2004,1.425537
TUR,2005,1.343583
TUR,2006,1.428453
TUR,2007,1.302931
TUR,2008,1.301522
TUR,2009,1.54996
TUR,2010,1.502849
TUR,2011,1.674955
TUR,2012,1.796001
TUR,2013,1.903768
TUR,2014,2.188542
TUR,2015,2.720009
TUR,2016,3.020135
TUR,2017,3.648133
TUR,2018,4.82837
TUR,2019,5.673819
TUR,2020,7.008605
TUR,2021,8.850408
GBR,2000,0.660931
GBR,2001,0.694655
GBR,2002,0.667223
GBR,2003,0.612472
GBR,2004,0.54618
GBR,2005,0.549998
GBR,2006,0.543487
GBR,2007,0.499772
GBR,2008,0.543966
GBR,2009,0.641919
GBR,2010,0.647179
GBR,2011,0.624141
GBR,2012,0.633047
GBR,2013,0.639661
GBR,2014,0.60773
GBR,2015,0.654545
GBR,2016,0.740634
GBR,2017,0.776977
GBR,2018,0.749532
GBR,2019,0.783445
GBR,2020,0.78
GBR,2021,0.727065
USA,2000,1
USA,2001,1
USA,2002,1
USA,2003,1
USA,2004,1
USA,2005,1
USA,2006,1
USA,2007,1
USA,2008,1
USA,2009,1
USA,2010,1
USA,2011,1
USA,2012,1
USA,2013,1
USA,2014,1
USA,2015,1
USA,2016,1
USA,2017,1
USA,2018,1
USA,2019,1
USA,2020,1
USA,2021,1
BRA,2000,1.829423
BRA,2001,2.349632
BRA,2002,2.920363
BRA,2003,3.077475
BRA,2004,2.925119
BRA,2005,2.43439
BRA,2006,2.175327
BRA,2007,1.947058
BRA,2008,1.833767
BRA,2009,1.999428
BRA,2010,1.759227
BRA,2011,1.672829
BRA,2012,1.953069
BRA,2013,2.156089
BRA,2014,2.352952
BRA,2015,3.326904
BRA,2016,3.491313
BRA,2017,3.191389
BRA,2018,3.653825
BRA,2019,3.944471
BRA,2020,5.155179
BRA,2021,5.394401
CHN,2000,8.278504
CHN,2001,8.277068
CHN,2002,8.276958
CHN,2003,8.277037
CHN,2004,8.276801
CHN,2005,8.194317
CHN,2006,7.973438
CHN,2007,7.607532
CHN,2008,6.948655
CHN,2009,6.831416
CHN,2010,6.770269
CHN,2011,6.461461
CHN,2012,6.312333
CHN,2013,6.195758
CHN,2014,6.143434
CHN,2015,6.227489
CHN,2016,6.644478
CHN,2017,6.758755
CHN,2018,6.615957
CHN,2019,6.908385
CHN,2020,6.900767
CHN,2021,6.448975
IND,2000,44.941605
IND,2001,47.186414
IND,2002,48.610319
IND,2003,46.583284
IND,2004,45.316467
IND,2005,44.099975
IND,2006,45.307008
IND,2007,41.348533
IND,2008,43.505183
IND,2009,48.405267
IND,2010,45.725812
IND,2011,46.670467
IND,2012,53.437233
IND,2013,58.597845
IND,2014,61.029514
IND,2015,64.151944
IND,2016,67.195313
IND,2017,65.121569
IND,2018,68.389467
IND,2019,70.420341
IND,2020,74.099567
IND,2021,73.918013
IDN,2000,8421.775
IDN,2001,10260.85
IDN,2002,9311.191667
IDN,2003,8577.133333
IDN,2004,8938.85
IDN,2005,9704.741667
IDN,2006,9159.316667
IDN,2007,9141
IDN,2008,9698.9625
IDN,2009,10389.9375
IDN,2010,9090.433333
IDN,2011,8770.433333
IDN,2012,9386.629167
IDN,2013,10461.24
IDN,2014,11865.2113
IDN,2015,13389.41294
IDN,2016,13308.3268
IDN,2017,13380.83388
IDN,2018,14236.93877
IDN,2019,14147.67136
IDN,2020,14582.20347
IDN,2021,14308.1439
RUS,2000,28.129167
RUS,2001,29.168525
RUS,2002,31.348483
RUS,2003,30.692025
RUS,2004,28.813742
RUS,2005,28.284442
RUS,2006,27.190958
RUS,2007,25.580845
RUS,2008,24.852875
RUS,2009,31.740358
RUS,2010,30.367915
RUS,2011,29.382341
RUS,2012,30.839831
RUS,2013,31.837144
RUS,2014,38.378207
RUS,2015,60.93765
RUS,2016,67.055933
RUS,2017,58.342801
RUS,2018,62.668133
RUS,2019,64.737658
RUS,2020,72.104908
RUS,2021,73.65435
ZAF,2000,6.939828
ZAF,2001,8.609181
ZAF,2002,10.540747
ZAF,2003,7.564749
ZAF,2004,6.459693
ZAF,2005,6.359328
ZAF,2006,6.771549
ZAF,2007,7.045365
ZAF,2008,8.261223
ZAF,2009,8.473674
ZAF,2010,7.321222
ZAF,2011,7.261132
ZAF,2012,8.209969
ZAF,2013,9.655056
ZAF,2014,10.852656
ZAF,2015,12.758931
ZAF,2016,14.709611
ZAF,2017,13.323801
ZAF,2018,13.233926
ZAF,2019,14.448427
ZAF,2020,16.459105
ZAF,2021,14.778678
SAU,2000,3.75
SAU,2001,3.75
SAU,2002,3.75
SAU,2003,3.75
SAU,2004,3.75
SAU,2005,3.75
SAU,2006,3.75
SAU,2007,3.75
SAU,2008,3.75
SAU,2009,3.75
SAU,2010,3.75
SAU,2011,3.75
SAU,2012,3.75
SAU,2013,3.75
SAU,2014,3.75
SAU,2015,3.75
SAU,2016,3.75
SAU,2017,3.75
SAU,2018,3.75
SAU,2019,3.75
SAU,2020,3.75
SAU,2021,3.75
ARG,2000,0.9995
ARG,2001,0.9995
ARG,2002,3.063257
ARG,2003,2.900629
ARG,2004,2.923301
ARG,2005,2.903658
ARG,2006,3.054313
ARG,2007,3.095649
ARG,2008,3.144165
ARG,2009,3.710107
ARG,2010,3.896295
ARG,2011,4.11014
ARG,2012,4.536934
ARG,2013,5.459353
ARG,2014,8.075276
ARG,2015,9.233186
ARG,2016,14.758175
ARG,2017,16.562707
ARG,2018,28.094992
ARG,2019,48.147892
ARG,2020,70.539167
ARG,2021,94.990742
EU27_2020,2000,1.082705
EU27_2020,2001,1.116533
EU27_2020,2002,1.057559
EU27_2020,2003,0.884048
EU27_2020,2004,0.803922
EU27_2020,2005,0.8038
EU27_2020,2006,0.796433
EU27_2020,2007,0.729672
EU27_2020,2008,0.679923
EU27_2020,2009,0.716958
EU27_2020,2010,0.754309
EU27_2020,2011,0.718414
EU27_2020,2012,0.778338
EU27_2020,2013,0.752945
EU27_2020,2014,0.752728
EU27_2020,2015,0.901296
EU27_2020,2016,0.903421
EU27_2020,2017,0.885206
EU27_2020,2018,0.846773
EU27_2020,2019,0.893276
EU27_2020,2020,0.875506
EU27_2020,2021,0.845494
